#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 105  38
# Band-Index:    1
   1.62283    -12.604701  0.653  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.666
   1.60349    -12.615527  0.652  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.665
   1.58414    -12.626807  0.653  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.664
   1.56480    -12.638422  0.652  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.664
   1.54545    -12.650276  0.651  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.663
   1.52611    -12.662266  0.650  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.662
   1.50676    -12.674295  0.649  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.662
   1.48742    -12.686272  0.649  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.660
   1.46807    -12.698109  0.648  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.661
   1.44873    -12.709723  0.647  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.659
   1.42939    -12.721034  0.646  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.659
   1.41004    -12.731965  0.647  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.657
   1.39070    -12.742450  0.647  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.657
   1.37135    -12.752420  0.646  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.657
   1.35201    -12.761817  0.645  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.656
   1.33266    -12.770583  0.644  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.656
   1.31332    -12.778670  0.644  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.656
   1.29397    -12.786031  0.644  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.655
   1.27463    -12.792622  0.644  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.654
   1.25528    -12.798409  0.644  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.654
   1.23594    -12.803360  0.644  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.654
   1.21659    -12.807447  0.644  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.654
   1.19725    -12.810648  0.643  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.653
