     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz      dx2-y2       tot  
    -6.66996    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -6.59996    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -6.52996    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -6.45996    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -6.38996    -0.16337    -0.05300    -0.06850    -0.05300    -0.04625    -0.11396    -0.00594    -0.11396    -0.04625    -0.66423
    -6.31996    -0.17033    -0.05305    -0.06850    -0.05305    -0.04635    -0.11396    -0.01443    -0.11396    -0.04635    -0.67997
    -6.24996    -0.18786    -0.05442    -0.06851    -0.05442    -0.05106    -0.11398    -0.02268    -0.11398    -0.05106    -0.71798
    -6.17996    -0.21516    -0.05697    -0.06853    -0.05697    -0.05992    -0.11405    -0.03202    -0.11405    -0.05992    -0.77759
    -6.10996    -0.23547    -0.05900    -0.06855    -0.05900    -0.06684    -0.11413    -0.03981    -0.11413    -0.06684    -0.82377
    -6.03996    -0.24904    -0.06049    -0.06857    -0.06049    -0.07203    -0.11419    -0.04568    -0.11419    -0.07203    -0.85671
    -5.96996    -0.26023    -0.06182    -0.06858    -0.06182    -0.07692    -0.11424    -0.05137    -0.11424    -0.07692    -0.88615
    -5.89996    -0.28033    -0.06316    -0.06868    -0.06316    -0.08181    -0.11976    -0.07401    -0.11976    -0.08181    -0.95250
    -5.82996    -0.30407    -0.06459    -0.06898    -0.06459    -0.08691    -0.15017    -0.10455    -0.15017    -0.08691    -1.08094
    -5.75996    -0.31940    -0.06606    -0.06957    -0.06606    -0.09253    -0.18606    -0.12325    -0.18606    -0.09253    -1.20152
    -5.68896    -0.33254    -0.06811    -0.07039    -0.06811    -0.10176    -0.20459    -0.14126    -0.20459    -0.10176    -1.29310
    -5.61896    -0.34524    -0.07078    -0.07164    -0.07078    -0.11318    -0.22099    -0.16064    -0.22099    -0.11318    -1.38743
    -5.54896    -0.35914    -0.07392    -0.07354    -0.07392    -0.12497    -0.23735    -0.17926    -0.23735    -0.12497    -1.48443
    -5.47896    -0.37309    -0.07699    -0.07616    -0.07699    -0.13638    -0.25069    -0.19743    -0.25069    -0.13638    -1.57479
    -5.40896    -0.38489    -0.07965    -0.08049    -0.07965    -0.14698    -0.26442    -0.21559    -0.26442    -0.14698    -1.66306
    -5.33896    -0.39628    -0.08256    -0.08827    -0.08256    -0.15920    -0.28128    -0.23543    -0.28128    -0.15920    -1.76605
    -5.26896    -0.40534    -0.08486    -0.09918    -0.08486    -0.16816    -0.29676    -0.25085    -0.29676    -0.16816    -1.85494
    -5.19896    -0.41165    -0.08589    -0.10669    -0.08589    -0.17090    -0.30739    -0.25806    -0.30739    -0.17090    -1.90477
    -5.12896    -0.42028    -0.08645    -0.10931    -0.08645    -0.17141    -0.31298    -0.26480    -0.31298    -0.17141    -1.93607
    -5.05896    -0.43377    -0.08682    -0.11119    -0.08682    -0.17175    -0.31790    -0.27573    -0.31790    -0.17175    -1.97363
    -4.98896    -0.44172    -0.08692    -0.11261    -0.08692    -0.17184    -0.32242    -0.28227    -0.32242    -0.17184    -1.99895
    -4.91896    -0.44181    -0.08695    -0.11382    -0.08695    -0.17185    -0.32669    -0.28233    -0.32669    -0.17185    -2.00894
    -4.84896    -0.44194    -0.08699    -0.11480    -0.08699    -0.17187    -0.33086    -0.28239    -0.33086    -0.17187    -2.01857
    -4.77896    -0.44216    -0.08705    -0.11581    -0.08705    -0.17188    -0.33534    -0.28248    -0.33534    -0.17188    -2.02900
    -4.70896    -0.44247    -0.08713    -0.11688    -0.08713    -0.17191    -0.34020    -0.28262    -0.34020    -0.17191    -2.04046
    -4.63896    -0.44288    -0.08723    -0.11761    -0.08723    -0.17196    -0.34373    -0.28278    -0.34373    -0.17196    -2.04910
    -4.56896    -0.44407    -0.09372    -0.11829    -0.09372    -0.18933    -0.34754    -0.29755    -0.34754    -0.18933    -2.12110
    -4.49896    -0.44901    -0.10474    -0.11904    -0.10474    -0.21890    -0.35186    -0.32394    -0.35186    -0.21890    -2.24296
    -4.42896    -0.45739    -0.11450    -0.11981    -0.11450    -0.24920    -0.35719    -0.35026    -0.35719    -0.24920    -2.36923
    -4.35896    -0.46866    -0.12239    -0.12048    -0.12239    -0.27702    -0.36180    -0.37384    -0.36180    -0.27702    -2.48539
    -4.28896    -0.48372    -0.12802    -0.12097    -0.12802    -0.29713    -0.36497    -0.39061    -0.36497    -0.29713    -2.57554
    -4.21896    -0.50057    -0.13247    -0.12156    -0.13247    -0.31196    -0.36941    -0.40174    -0.36941    -0.31196    -2.65156
    -4.14896    -0.51998    -0.13571    -0.12235    -0.13571    -0.32451    -0.37623    -0.40665    -0.37623    -0.32451    -2.72189
    -4.07896    -0.53373    -0.13803    -0.12308    -0.13803    -0.33662    -0.38280    -0.40885    -0.38280    -0.33662    -2.78055
    -4.00896    -0.53886    -0.14238    -0.12396    -0.14238    -0.35477    -0.38826    -0.41013    -0.38826    -0.35477    -2.84380
    -3.93896    -0.54317    -0.14802    -0.12475    -0.14802    -0.37579    -0.39283    -0.41167    -0.39283    -0.37579    -2.91288
    -3.86896    -0.54687    -0.15123    -0.12532    -0.15123    -0.38658    -0.39871    -0.41368    -0.39871    -0.38658    -2.95889
    -3.79896    -0.55105    -0.15347    -0.12663    -0.15347    -0.39648    -0.41080    -0.41565    -0.41080    -0.39648    -3.01484
    -3.72896    -0.55537    -0.15571    -0.12911    -0.15571    -0.40676    -0.42781    -0.41814    -0.42781    -0.40676    -3.08318
    -3.65896    -0.55827    -0.15776    -0.13521    -0.15776    -0.41534    -0.47562    -0.42054    -0.47562    -0.41534    -3.21147
    -3.58896    -0.56115    -0.15984    -0.14769    -0.15984    -0.42655    -0.56351    -0.42315    -0.56351    -0.42655    -3.43179
    -3.51896    -0.56315    -0.16145    -0.16034    -0.16145    -0.43463    -0.62712    -0.42557    -0.62712    -0.43463    -3.59546
