#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 105  38
# Band-Index:    1
   1.73890    -12.555494  0.000  0.028  0.000  0.031  0.029  0.000  0.000  0.000  0.025  0.115
   1.71956    -12.561236  0.001  0.027  0.000  0.031  0.030  0.000  0.000  0.000  0.025  0.114
   1.70021    -12.568119  0.001  0.026  0.000  0.033  0.030  0.000  0.000  0.000  0.025  0.114
   1.68087    -12.576025  0.002  0.026  0.000  0.033  0.030  0.000  0.000  0.000  0.023  0.114
   1.66152    -12.584833  0.003  0.025  0.000  0.033  0.030  0.000  0.000  0.000  0.023  0.114
   1.64218    -12.594431  0.003  0.024  0.000  0.033  0.031  0.000  0.000  0.000  0.023  0.114
   1.62283    -12.604701  0.004  0.023  0.000  0.034  0.031  0.000  0.000  0.000  0.022  0.115
   1.60349    -12.615527  0.004  0.023  0.000  0.034  0.031  0.000  0.000  0.000  0.022  0.115
   1.58414    -12.626807  0.006  0.022  0.000  0.034  0.031  0.000  0.000  0.000  0.020  0.115
   1.56480    -12.638422  0.007  0.022  0.000  0.034  0.032  0.000  0.000  0.000  0.020  0.115
   1.54545    -12.650276  0.008  0.020  0.000  0.034  0.032  0.000  0.000  0.000  0.019  0.115
   1.52611    -12.662266  0.008  0.020  0.000  0.034  0.033  0.000  0.000  0.000  0.019  0.115
   1.50676    -12.674295  0.009  0.019  0.000  0.035  0.033  0.000  0.000  0.000  0.019  0.115
   1.48742    -12.686272  0.011  0.019  0.000  0.035  0.033  0.000  0.000  0.000  0.018  0.115
   1.46807    -12.698109  0.011  0.019  0.000  0.035  0.033  0.000  0.000  0.000  0.016  0.115
   1.44873    -12.709723  0.012  0.018  0.000  0.035  0.034  0.000  0.000  0.000  0.016  0.115
   1.42939    -12.721034  0.012  0.016  0.000  0.035  0.034  0.000  0.000  0.000  0.015  0.115
   1.41004    -12.731965  0.014  0.015  0.000  0.035  0.034  0.000  0.000  0.000  0.015  0.115
   1.39070    -12.742450  0.014  0.015  0.000  0.035  0.034  0.000  0.000  0.000  0.015  0.116
   1.37135    -12.752420  0.015  0.015  0.000  0.035  0.034  0.000  0.000  0.000  0.014  0.116
   1.35201    -12.761817  0.015  0.014  0.000  0.035  0.034  0.000  0.000  0.000  0.014  0.116
   1.33266    -12.770583  0.016  0.014  0.000  0.035  0.035  0.000  0.000  0.000  0.014  0.117
   1.31332    -12.778670  0.017  0.014  0.000  0.035  0.035  0.000  0.000  0.000  0.014  0.117
   1.29397    -12.786031  0.018  0.014  0.000  0.035  0.035  0.000  0.000  0.000  0.012  0.117
