#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 105  38
# Band-Index:    1
   2.95763    -14.513817  0.556  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.566
   2.91894    -14.477813  0.556  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.568
   2.88025    -14.434247  0.558  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.568
   2.84156    -14.383404  0.560  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.572
   2.80287    -14.325589  0.561  0.000  0.010  0.001  0.000  0.000  0.000  0.000  0.000  0.575
   2.76418    -14.261175  0.564  0.000  0.010  0.003  0.000  0.000  0.000  0.000  0.000  0.578
   2.72549    -14.190583  0.566  0.000  0.010  0.004  0.000  0.000  0.000  0.000  0.000  0.580
   2.68680    -14.114290  0.569  0.000  0.010  0.004  0.000  0.000  0.000  0.000  0.000  0.584
   2.64811    -14.032837  0.571  0.000  0.010  0.004  0.000  0.000  0.000  0.000  0.000  0.586
   2.60942    -13.946821  0.577  0.000  0.010  0.004  0.000  0.000  0.000  0.000  0.000  0.591
   2.57073    -13.856905  0.579  0.000  0.010  0.004  0.000  0.000  0.000  0.000  0.000  0.595
   2.53204    -13.763784  0.585  0.000  0.010  0.004  0.000  0.000  0.000  0.000  0.000  0.599
   2.49335    -13.668245  0.589  0.000  0.010  0.004  0.000  0.000  0.000  0.000  0.000  0.604
   2.45466    -13.571131  0.593  0.000  0.010  0.004  0.000  0.000  0.000  0.000  0.000  0.607
   2.41597    -13.473335  0.599  0.000  0.010  0.004  0.000  0.000  0.000  0.000  0.000  0.614
   2.37728    -13.375815  0.604  0.000  0.010  0.004  0.000  0.000  0.000  0.000  0.000  0.618
   2.33859    -13.279585  0.609  0.000  0.010  0.004  0.000  0.000  0.000  0.000  0.000  0.623
   2.29990    -13.185668  0.615  0.000  0.010  0.004  0.000  0.000  0.000  0.000  0.000  0.630
   2.26121    -13.095098  0.620  0.000  0.010  0.004  0.000  0.000  0.000  0.000  0.000  0.635
   2.22252    -13.008913  0.625  0.000  0.010  0.004  0.000  0.000  0.000  0.000  0.000  0.640
   2.18383    -12.928123  0.631  0.000  0.011  0.004  0.000  0.000  0.000  0.000  0.000  0.645
