#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 105  38
# Band-Index:    1
   0.23454    -13.378719    -13.378719
   0.20104    -13.398000    -13.398000
   0.16753    -13.414483    -13.414483
   0.13403    -13.428083    -13.428084
   0.10052    -13.438731    -13.438732
   0.06701    -13.446374    -13.446374
   0.03351    -13.450974    -13.450974
   0.00000    -13.452509    -13.452509
 
# Band-Index:    5
   0.00000    -13.452339    -13.452340
   0.03351    -13.450804    -13.450805
   0.06701    -13.446204    -13.446205
   0.10052    -13.438561    -13.438562
   0.13403    -13.427909    -13.427909
   0.16753    -13.414297    -13.414297
   0.20104    -13.397783    -13.397783
   0.23454    -13.378439    -13.378440
   0.26805    -13.356363    -13.356364
   0.30156    -13.331659    -13.331660
   0.33506    -13.304452    -13.304452
   0.36857    -13.274888    -13.274888
   0.40208    -13.243128    -13.243129
   0.43558    -13.209350    -13.209351
   0.46909    -13.173755    -13.173756
   0.50259    -13.136568    -13.136568
   0.53610    -13.098029    -13.098029
   0.56961    -13.058383    -13.058384
   0.60311    -13.017927    -13.017927
   0.63662    -12.976960    -12.976960
   0.67013    -12.935798    -12.935799
   0.70363    -12.894793    -12.894794
   0.73714    -12.854305    -12.854306
   0.77064    -12.814727    -12.814728
   0.80415    -12.776440    -12.776441
   0.83766    -12.739836    -12.739837
   0.87116    -12.705321    -12.705321
   0.90467    -12.673289    -12.673290
   0.93818    -12.644122    -12.644123
   0.97168    -12.618173    -12.618173
   1.00519    -12.595780    -12.595780
   1.03869    -12.577216    -12.577217
   1.07220    -12.562686    -12.562687
   1.10571    -12.552347    -12.552348
   1.13921    -12.546374    -12.546374
   1.13921    -12.546374    -12.546374
   1.15856    -12.546070    -12.546071
   1.17790    -12.545166    -12.545166
   1.19725    -12.543665    -12.543666
   1.21659    -12.541578    -12.541579
   1.23594    -12.538920    -12.538920
   1.25528    -12.535704    -12.535705
   1.27463    -12.531954    -12.531954
   1.29397    -12.527694    -12.527695
   1.31332    -12.522951    -12.522952
   1.33266    -12.517759    -12.517760
   1.35201    -12.512161    -12.512161
   1.37135    -12.506188    -12.506188
   1.39070    -12.499885    -12.499886
   1.41004    -12.493303    -12.493303
   1.42939    -12.486487    -12.486487
   1.44873    -12.479490    -12.479491
   1.46807    -12.472370    -12.472371
   1.48742    -12.465188    -12.465188
   1.50676    -12.457996    -12.457997
   1.52611    -12.450862    -12.450863
   1.54545    -12.443851    -12.443852
   1.56480    -12.437031    -12.437032
   1.58414    -12.430465    -12.430465
   1.60349    -12.424221    -12.424222
   1.62283    -12.418374    -12.418375
   1.64218    -12.412984    -12.412985
   1.66152    -12.408121    -12.408121
   1.68087    -12.403848    -12.403849
   1.70021    -12.400226    -12.400227
   1.71956    -12.397313    -12.397314
   1.73890    -12.395165    -12.395166
   1.75825    -12.393834    -12.393835
   1.77759    -12.393371    -12.393372
   1.79694    -12.393770    -12.393770
   1.79694    -12.393770    -12.393770
   1.83563    -12.397406    -12.397406
   1.87432    -12.405213    -12.405214
   1.91301    -12.417254    -12.417254
   1.95170    -12.433622    -12.433623
   1.99039    -12.454347    -12.454348
   2.02908    -12.479363    -12.479364
   2.06776    -12.508516    -12.508517
   2.10645    -12.541564    -12.541565
   2.14514    -12.578190    -12.578191
   2.18383    -12.618006    -12.618007
   2.22252    -12.660578    -12.660578
   2.26121    -12.705449    -12.705449
   2.29990    -12.752141    -12.752142
   2.33859    -12.800170    -12.800170
   2.37728    -12.849073    -12.849074
   2.41597    -12.898390    -12.898390
   2.45466    -12.947663    -12.947663
   2.49335    -12.996459    -12.996460
   2.53204    -13.044371    -13.044372
   2.57073    -13.091010    -13.091010
   2.60942    -13.136005    -13.136006
   2.64811    -13.179039    -13.179039
   2.68680    -13.219790    -13.219791
   2.72549    -13.257962    -13.257962
   2.76418    -13.293290    -13.293290
   2.80287    -13.325537    -13.325537
